Sendungstitel,FolgenNr,Staffel,Folge,Datum,Dauer,Sendezeit,Gästesubstr,Gast_1,Beschreibung_1,Gast_2,Beschreibung_2,Gast_3,Beschreibung_3,Gast_4,Beschreibung_4,Gast_5,Beschreibung_5,Gast_6,Beschreibung_6,Gast_7,Beschreibung_7,Gast_8,Beschreibung_8
 Markus Lanz 14.11.2018,1185,11,114,14.11.2018,075'42,23:20:42 - 00:36:24," 23:20:42 - 00:36:24 075'42 O-Ton Interview Markus LANZ mit den Studiogästen Herbert GRÖNEMEYER (Sänger), Robert HABECK (Vors. Bündnis 90 / Die Grünen) und Claudia KADE (Journalistin ""WELT"") ",Herbert GRÖNEMEYER,Sänger,Robert HABECK,Vors. Bündnis 90 / Die Grünen,Claudia KADE,"Journalistin ""WELT""",,,,,,,,,,
 Markus Lanz 15.11.2018,1186,11,115,15.11.2018,075'50,23:40:06 - 00:55:56," 23:40:06 - 00:55:56 075'50 O-Ton Interview Markus LANZ mit den Studiogästen Volker BOUFFIER (MPr Hessen, CDU), Markus FELDENKIRCHEN (Journalist ""SPIEGEL""), Charlotte ROCHE (Autorin) und Christian BERKEL (Schauspieler) ",Volker BOUFFIER,"MPr Hessen, CDU",Markus FELDENKIRCHEN,"Journalist ""SPIEGEL""",Charlotte ROCHE,Autorin,Christian BERKEL,Schauspieler,,,,,,,,
 Markus Lanz 20.11.2018,1187,11,116,20.11.2018,075'24,23:36:06 - 00:51:30," 23:36:06 - 00:51:30 075'24 O-Ton Interview Markus LANZ mit den Studiogästen Norbert BLÜM (ehem. Bundesminister für Arbeit und Sozialordnung, CDU), Eva QUADBECK (Journalistin), Ilka BESSIN (Komikerin, ehem. Cindy aus Marzahn), Jeff GOLDBLUM (Schauspieler) ",Norbert BLÜM,"ehem. Bundesminister für Arbeit und Sozialordnung, CDU",Eva QUADBECK,Journalistin,Ilka BESSIN,"Komikerin, ehem. Cindy aus Marzahn",Jeff GOLDBLUM,Schauspieler,,,,,,,,
 Markus Lanz 21.11.2018,1188,11,117,21.11.2018,075'28,23:13:36 - 00:29:04," 23:13:36 - 00:29:04 075'28 O-Ton Interview Markus LANZ mit den Studiogästen: Klaus VON DOHNANYI (ehem. Erster Bgm Hamburg und ehem. Bundesminister für Bildung und Wissenschaft, SPD)",Klaus VON,"ehem. Erster Bgm Hamburg und ehem. Bundesminister für Bildung und Wissenschaft, SPD",,,,,,,,,,,,,,
 Markus Lanz 22.11.2018,1189,11,118,22.11.2018,075'31,23:21:53 - 00:37:24," 23:21:53 - 00:37:24 075'31 O-Ton Interview Markus LANZ mit den Studiogästen Mick HUCKNALL (Sänger ""Simply Red""), Markus SÖDER (MPr Bayern, CSU), Tina HILDEBRANDT (Journalistin ""Die Zeit"") und Andreas ENGLISCH (Journalist und Autor ""Mein Rom"") ",Mick HUCKNALL,"Sänger ""Simply Red""",Markus SÖDER,"MPr Bayern, CSU",Tina HILDEBRANDT,"Journalistin ""Die Zeit""",Andreas ENGLISCH,"Journalist und Autor ""Mein Rom""",,,,,,,,
 Markus Lanz 27.11.2018,1190,11,119,27.11.2018,077'02,23:15:05 - 00:32:07," 23:15:05 - 00:32:07 077'02 O-Ton Interview Markus LANZ mit den Studiogästen Wolfgang BOSBACH (Politiker, CDU), Claus KLEBER (Journalist und ZDF-Moderator), Sawsan CHEBLI (StSekr, SPD), Alexander VON SCHÖNBURG (Buchautor ""Die Kunst des lässigen Anstands"") ",Wolfgang BOSBACH,"Politiker, CDU",Claus KLEBER,Journalist und ZDF-Moderator,Sawsan CHEBLI,"StSekr, SPD",Alexander VON,"Buchautor ""Die Kunst des lässigen Anstands""",,,,,,,,
 Markus Lanz 28.11.2018,1191,11,120,28.11.2018,074'49,23:32:47 - 00:47:36," 23:32:47 - 00:47:36 074'49 O-Ton Interview Markus LANZ mit den Studiogästen Anton HOFREITER (Fraktionsvors. Bündnis 90 / Die Grünen), Christiane HOFFMANN (Journalistin ""Der Spiegel""), Helge SCHNEIDER (Komiker und Musiker) und Prof. Christopher CLARK (Historiker und Autor ""Von Zeit und Macht"") ",Anton HOFREITER,Fraktionsvors. Bündnis 90 / Die Grünen,Christiane HOFFMANN,"Journalistin ""Der Spiegel""",Helge SCHNEIDER,Komiker und Musiker,Christopher CLARK,"Historiker und Autor ""Von Zeit und Macht""",,,,,,,,
 Markus Lanz 29.11.2018,1132,11,61,29.11.2018,075'17,23:17:21 - 00:32:38," 23:17:21 - 00:32:38 075'17 O-Ton Interview Markus LANZ mit den Studiogästen Stephan WEIL (MPr Niedersachsen, SPD), Dagmar ROSENFELD (Journalistin ""Die Welt""), Hubertus MEYER-BURCKHARDT (Moderator und Buchautor ""Frauengeschichten"") und Jonas JONASSON (Buchautor ""Der Hundertjährige, der zurückkam, um die Welt zu retten"") ",Stephan WEIL,"MPr Niedersachsen, SPD",Dagmar ROSENFELD,"Journalistin ""Die Welt""",Hubertus MEYER-BURCKHARDT,"Moderator und Buchautor ""Frauengeschichten""",Jonas JONASSON,"Buchautor ""Der Hundertjährige, der zurückkam, um die Welt zu retten""",,,,,,,,
 Markus Lanz 04.12.2018,1192,11,121,04.12.2018,075'01,23:15:14 - 00:30:15," 23:15:14 - 00:30:15 075'01 O-Ton Interview Markus LANZ mit den Studiogästen Winfried KRETSCHMANN (MPr Baden-Württemberg, Bündnis 90 / Die Grünen), Wolfram WEIMER (Verleger und Publizist), Jochen BREYER (Journalist und ZDF-Sportmoderator), Julia BEHRINGER (Autorin) ",Winfried KRETSCHMANN,"MPr Baden-Württemberg, Bündnis 90 / Die Grünen",Wolfram WEIMER,Verleger und Publizist,Jochen BREYER,Journalist und ZDF-Sportmoderator,Julia BEHRINGER,Autorin,,,,,,,,
 Markus Lanz 05.12.2018,1193,11,122,05.12.2018,072'32,23:52:21 - 01:04:53," 23:52:21 - 01:04:53 072'32 O-Ton Interview Markus LANZ mit den Studiogästen Annegret KRAMP-KARRENBAUER (GenSekr CDU), Christoph SCHWENNICKE (Journalist ""Cicero""), Stefan GLOWACZ (Bergsteiger und Kletterer) und Michael BUBLE (Sänger) mit den Schwerpunktthemen: Nachfolge von BK Angela Merkel als Parteivorsitzende",Annegret KRAMP-KARRENBAUER,GenSekr CDU,Christoph SCHWENNICKE,"Journalist ""Cicero""",Stefan GLOWACZ,Bergsteiger und Kletterer,Michael BUBLE,Sänger,,,,,,,,
 Markus Lanz 06.12.2018,1194,11,123,06.12.2018,076'03,23:21:49 - 00:37:52," 23:21:49 - 00:37:52 076'03 O-Ton Interview Markus LANZ mit den Studiogästen Robin ALEXANDER (Journalist ""Die Welt""), Bernhard VOGEL (ehem. MPr Rheinland-Pfalz und ehem. MPr Thüringen, CDU), HEINO (Sänger) und Katharina POHLENZ (Krebspatientin) und Kristina POHLENZ (Mutter von Katharina) ",Robin ALEXANDER,"Journalist ""Die Welt""",Bernhard VOGEL,"ehem. MPr Rheinland-Pfalz und ehem. MPr Thüringen, CDU",Katharina POHLENZ,Krebspatientin,Kristina POHLENZ,Mutter von Katharina,,,,,,,,
 Markus Lanz 11.12.2018,1195,11,124,11.12.2018,075'23,22:48:09 - 00:03:32," 22:48:09 - 00:03:32 075'23 O-Ton Interview Markus LANZ mit den Studiogästen Ole VON BEUST (ehem. Erster Bgm Hamburg, CDU)",Ole VON,"ehem. Erster Bgm Hamburg, CDU",,,,,,,,,,,,,,
 Markus Lanz 12.12.2018,1196,11,125,12.12.2018,074'41,23:37:23 - 00:52:04," 23:37:23 - 00:52:04 074'41 O-Ton Interview Markus LANZ mit den Studiogästen Thomas STROBL (Innenminister Baden-Württemberg, CDU), Melanie AMANN (Journalistin), Wolfgang STUMPH (Schauspieler und Kabarettist), Yael ADLER (Ärztin, Dermatologie und Buchautorin) ",Thomas STROBL,"Innenminister Baden-Württemberg, CDU",Melanie AMANN,Journalistin,Wolfgang STUMPH,Schauspieler und Kabarettist,Yael ADLER,"Ärztin, Dermatologie und Buchautorin",,,,,,,,
 Markus Lanz 13.12.2018,1197,11,126,13.12.2018,074'18,23:21:33 - 00:35:51," 23:21:33 - 00:35:51 074'18 O-Ton Interview Markus LANZ mit den Studiogästen BMG Jens SPAHN (Bundesminister für Gesundheit, CDU), Michael SPRENG (Journalist), Juli ZEH (Schriftstellerin und Richterin am Verfassungsgericht Brandenburg) und Olli DITTRICH (Schauspieler) ",Jens SPAHN,"Bundesminister für Gesundheit, CDU",Michael SPRENG,Journalist,Juli ZEH,Schriftstellerin und Richterin am Verfassungsgericht Brandenburg,Olli DITTRICH,Schauspieler,,,,,,,,
 Markus Lanz 18.12.2018,1198,11,127,18.12.2018,070'20,10:00:00 - 11:10:20," 10:00:00 - 11:10:20 070'20 O-Ton Interview Markus LANZ mit den Studiogästen Wolf VON LOJEWSKI (Journalist, SPD-Mitglied), Wolfgang ISCHINGER (ehem. Botschafter, Leiter der Münchner Sicherheitskonferenz), Vanessa MAI (Sängerin) und Prof. Ulrich WALTER (Physiker, ehem. Astronaut) ",Wolf VON,"Journalist, SPD-Mitglied",Wolfgang ISCHINGER,"ehem. Botschafter, Leiter der Münchner Sicherheitskonferenz",Vanessa MAI,Sängerin,Ulrich WALTER,"Physiker, ehem. Astronaut",,,,,,,,
 Markus Lanz 19.12.2018,1199,11,128,19.12.2018,074'59,10:00:00 - 11:14:59," 10:00:00 - 11:14:59 074'59 O-Ton Interview Markus LANZ mit den Studiogästen Olaf SUNDERMEYER (Journalist), Martin HIKEL (Bezirksbgm Berlin-Neukölln, SPD), Christiane PAUL (Schauspielerin und Ärztin) und Thilo MISCHKE (Journalist und PRO7-Moderator) ",Olaf SUNDERMEYER,Journalist,Martin HIKEL,"Bezirksbgm Berlin-Neukölln, SPD",Christiane PAUL,Schauspielerin und Ärztin,Thilo MISCHKE,Journalist und PRO7-Moderator,,,,,,,,
 Markus Lanz 08.01.2019,1200,12,1,08.01.2019,074'45,23:12:48 - 00:27:33," 23:12:48 - 00:27:33 074'45 O-Ton Interview Markus LANZ mit den Studiogästen Claudia KADE (Journalistin), Wolfgang KUBICKI (stellv. BTPräs, FDP), Miriam MAERTENS (Schauspielerin, an Mukoviszidose erkrankt), Linus NEUMANN (IT-Sicherheitsexperte, Sprecher Chaos Computer Club e.V.) ",Claudia KADE,Journalistin,Wolfgang KUBICKI,"stellv. BTPräs, FDP",Miriam MAERTENS,"Schauspielerin, an Mukoviszidose erkrankt",Linus NEUMANN,"IT-Sicherheitsexperte, Sprecher Chaos Computer Club e.V.",,,,,,,,
 Markus Lanz 09.01.2019,1201,12,2,09.01.2019,074'06,23:18:27 - 00:32:33," 23:18:27 - 00:32:33 074'06 O-Ton Interview Markus LANZ mit den Studiogästen Armin LASCHET (Ministerpräsident Nordrhein-Westfalen, CDU), Markus FELDENKIRCHEN (Journalist), Francine JORDI (Sängerin) und Jürgen VON DER LIPPE (Entertainer) ",Armin LASCHET,"Ministerpräsident Nordrhein-Westfalen, CDU",Markus FELDENKIRCHEN,Journalist,Francine JORDI,Sängerin,Jürgen VON,Entertainer,,,,,,,,
 Markus Lanz 10.01.2019,1202,12,3,10.01.2019,075'39,23:32:29 - 00:48:08," 23:32:29 - 00:48:08 075'39 O-Ton Interview Markus LANZ mit den Studiogästen Andreas SCHEUER (BMVD, CSU), Elisabeth NIEJAHR (Journalistin ""Wirtschaftswoche""), Martin FUCHS (Politikberater), Eric WREDE (Bestatter, ""Lebensnah - Individuelle Bestattungen"") ",Andreas SCHEUER,"BMVD, CSU",Elisabeth NIEJAHR,"Journalistin ""Wirtschaftswoche""",Martin FUCHS,Politikberater,Eric WREDE,"Bestatter, ""Lebensnah - Individuelle Bestattungen""",,,,,,,,
 Markus Lanz 15.01.2019,1203,12,4,15.01.2019,074'27,22:47:35 - 00:02:02," 22:47:35 - 00:02:02 074'27 O-Ton Interview Markus LANZ mit den Studiogästen Bodo RAMELOW (MPr Thüringen, Die Linke), Eva QUADBECK (Journalistin ""Rheinische Post""), Hans SIGL (Schauspieler) und Sophia FLÖRSCH (Formel-3-Pilotin) ",Bodo RAMELOW,"MPr Thüringen, Die Linke",Eva QUADBECK,"Journalistin ""Rheinische Post""",Hans SIGL,Schauspieler,Sophia FLÖRSCH,Formel-3-Pilotin,,,,,,,,
 Markus Lanz 16.01.2019,1204,12,5,16.01.2019,076'35,23:15:53 - 00:32:28," 23:15:53 - 00:32:28 076'35 O-Ton Interview Markus Lanz mit den Studiogästen Prof. Marcel FRATZSCHER (Ökonom, Präsident Deutsches Institut für Wirtschaftsforschung), Hans-Peter FRIEDRICH (stellv. BTPräs und Leiter der Arbeitsgruppe Brexit, CSU), Dagmar ROSENFELD (Journalistin ""Die Welt"") und Henrik RIECHERT (Kampfschwimmer und Fregattenkapitän) ",Marcel FRATZSCHER,"Ökonom, Präsident Deutsches Institut für Wirtschaftsforschung",Peter FRIEDRICH,"stellv. BTPräs und Leiter der Arbeitsgruppe Brexit, CSU",Dagmar ROSENFELD,"Journalistin ""Die Welt""",Henrik RIECHERT,Kampfschwimmer und Fregattenkapitän,,,,,,,,
 Markus Lanz 17.01.2019,1205,12,6,17.01.2019,074'45,23:19:59 - 00:34:44," 23:19:59 - 00:34:44 074'45 O-Ton Interview Markus LANZ mit den Studiogästen Julia KLÖCKNER ( Bundesministerin für Landwirtschaft und Ernährung BMLE, CDU), Robin ALEXANDER (Journalist ""Die Welt""), Jörg BLECH (Wissenschaftsjournalist, Biologe) und Hans KAMMERLANDER (Extrembergsteiger) ",Julia KLÖCKNER,"Bundesministerin für Landwirtschaft und Ernährung BMLE, CDU",Robin ALEXANDER,"Journalist ""Die Welt""",Jörg BLECH,"Wissenschaftsjournalist, Biologe",Hans KAMMERLANDER,Extrembergsteiger,,,,,,,,
 Markus Lanz 22.01.2019,1206,12,7,22.01.2019,074'38,22:44:34 - 23:59:12, 22:44:34 - 23:59:12 074'38 O-Ton Interview Markus LANZ mit den Studiogästen Kurt BECK (Vors. Friedrich-Ebert-Stiftung,,,,,,,,,,,,,,,,
 Markus Lanz 23.01.2019,1207,12,8,23.01.2019,075'01,23:12:07 - 00:27:08," 23:12:07 - 00:27:08 075'01 O-Ton Interview Markus LANZ mit den Studiogästen Yanis VAROUFAKIS (ehem. FM Griechenland), Wolfgang BOSBACH (Politiker, CDU), Gisela SCHNEEBERGER (Schauspielerin und Kabarettistin), Tobias FRIEDRICH (Unterwasserfotograf) ",Yanis VAROUFAKIS,ehem. FM Griechenland,Wolfgang BOSBACH,"Politiker, CDU",Gisela SCHNEEBERGER,Schauspielerin und Kabarettistin,Tobias FRIEDRICH,Unterwasserfotograf,,,,,,,,
 Markus Lanz 24.01.2019,1208,12,9,24.01.2019,074'59,23:19:43 - 00:34:42," 23:19:43 - 00:34:42 074'59 O-Ton Interview Markus LANZ mit den Studiogästen Ilse AIGNER (Präs. Bayerischer Landtag, CSU), Hajo SCHUMACHER (Journalist), Dunja HAYALI (ZDF-Moderatorin), Anselm PAHNKE (Abenteurer) ",Ilse AIGNER,"Präs. Bayerischer Landtag, CSU",Hajo SCHUMACHER,Journalist,Dunja HAYALI,ZDF-Moderatorin,Anselm PAHNKE,Abenteurer,,,,,,,,
 Markus Lanz 29.01.2019,1209,12,10,29.01.2019,075'00,23:37:03 - 00:52:03," 23:37:03 - 00:52:03 075'00 O-Ton Interview Markus LANZ mit den Studiogästen Edzard REUTER (ehem. Vorstandsvors. Daimler-Benz AG), Dr. Ursula HUDSON (Kulturwissenschaftlerin), Joey KELLY (Extremsportler und Musiker) und Luke KELLY (Schüler und Sohn von Joey Kelly) ",Edzard REUTER,ehem. Vorstandsvors. Daimler-Benz AG,Ursula HUDSON,Kulturwissenschaftlerin,Joey KELLY,Extremsportler und Musiker,Luke KELLY,Schüler und Sohn von Joey Kelly,,,,,,,,
 Markus Lanz 30.01.2019,1210,12,11,30.01.2019,075'51,23:13:27 - 00:29:18," 23:13:27 - 00:29:18 075'51 O-Ton Interview Markus LANZ mit den Studiogästen Anne GESTHUYSEN (ARD-Journalistin und Autorin), Bastian PASTEWKA (Schauspieler, Komiker und Drehbuchautor), Stefan KRETZSCHMAR (ehem. Handballspieler, Handballexperte) und Marcel REIF (Sportjournalist und Sportkommentator) ",Anne GESTHUYSEN,ARD-Journalistin und Autorin,Bastian PASTEWKA,"Schauspieler, Komiker und Drehbuchautor",Stefan KRETZSCHMAR,"ehem. Handballspieler, Handballexperte",Marcel REIF,Sportjournalist und Sportkommentator,,,,,,,,
 Markus Lanz 31.01.2019,1211,12,12,31.01.2019,075'45,23:20:50 - 00:36:35," 23:20:50 - 00:36:35 075'45 O-Ton Interview Markus LANZ mit den Studiogästen Theo WAIGEL (ehem. Bundesfinanzminister, CSU), Bascha MIKA (Journalistin, Chefredakteurin ""Frankfurter Rundschau""), Kristina VOGEL (ehem. Bahnradsportlerin) und Ana ZIRNER (Autorin und Regisseurin) ",Theo WAIGEL,"ehem. Bundesfinanzminister, CSU",Bascha MIKA,"Journalistin, Chefredakteurin ""Frankfurter Rundschau""",Kristina VOGEL,ehem. Bahnradsportlerin,Ana ZIRNER,Autorin und Regisseurin,,,,,,,,
 Markus Lanz 05.02.2019,1212,12,13,05.02.2019,075'39,22:45:45 - 00:01:24," 22:45:45 - 00:01:24 075'39 O-Ton Interview Markus LANZ mit den Studiogästen Gerd MÜLLER (BMZ Bundesminister für wirtschaftliche Zusammenarbeit und Entwicklung, CSU), Ansgar GRAW (Journalist ""Die Welt""), Dirk STEFFENS (ZDF-Naturfilmer) und Ines GILLMEISTER (Erzieherin) ",Gerd MÜLLER,"BMZ Bundesminister für wirtschaftliche Zusammenarbeit und Entwicklung, CSU",Ansgar GRAW,"Journalist ""Die Welt""",Dirk STEFFENS,ZDF-Naturfilmer,Ines GILLMEISTER,Erzieherin,,,,,,,,
 Markus Lanz 06.02.2019,1213,12,14,06.02.2019,075'47,23:34:04 - 00:49:51," 23:34:04 - 00:49:51 075'47 O-Ton Interview Markus LANZ mit den Studiogästen Dr. Dietmar BARTSCH (Fraktionsvors. ""DIE LINKE""), Elisabeth NIEJAHR (Journalistin ""Wirtschaftswoche""), Nico ROSBERG (ehem. Rennfahrer Formel1) und Jürgen ZELTINGER (Musiker) ",Dietmar BARTSCH,"Fraktionsvors. ""DIE LINKE""",Elisabeth NIEJAHR,"Journalistin ""Wirtschaftswoche""",Nico ROSBERG,ehem. Rennfahrer Formel1,Jürgen ZELTINGER,Musiker,,,,,,,,
 Markus Lanz 07.02.2019,1214,12,15,07.02.2019,075'34,23:16:34 - 00:32:08," 23:16:34 - 00:32:08 075'34 O-Ton Interview Markus LANZ mit den Studiogästen Svenja SCHULZE (BMUN, SPD), Rainer HANK (Journalist), Martin SCHOELLER (Fotograf), Tom KAULITZ und Bill KAULITZ (Musiker, Zwillingsbrüder, Gründer der Band Tokio Hotel) ",Svenja SCHULZE,"BMUN, SPD",Rainer HANK,Journalist,Martin SCHOELLER,Fotograf,Tom KAULITZ,"Musiker, Zwillingsbrüder, Gründer der Band Tokio Hotel",Bill KAULITZ,"Musiker, Zwillingsbrüder, Gründer der Band Tokio Hotel",,,,,,
 Markus Lanz 12.02.2019,1215,12,16,12.02.2019,075'11,23:16:10 - 00:31:21," 23:16:10 - 00:31:21 075'11 O-Ton Interview Markus LANZ mit den Studiogästen Annalena BAERBOCK (Vors. Bündnis 90 / Die Grünen), Wolfram WEIMER (Journalist), Klemens PÜTZ (Meeresbiologe und Pinguinforscher) und Michael SCOTT MOORE (Journalist) ",Annalena BAERBOCK,Vors. Bündnis 90 / Die Grünen,Wolfram WEIMER,Journalist,Klemens PÜTZ,Meeresbiologe und Pinguinforscher,Michael SCOTT,Journalist,,,,,,,,
 Markus Lanz 13.02.2019,1216,12,17,13.02.2019,075'20,23:14:05 - 00:29:25," 23:14:05 - 00:29:25 075'20 O-Ton Interview Markus LANZ mit den Studiogästen Manfred WEBER (Spitzenkandidat der EVP für die Europawahl im Mai 2019, CSU), Dagmar ROSENFELD (Journalistin ""Die Welt""), Klaas HEUFER-UMLAUF (Moderator) und Ben RHODES (Autor und ehem. Redenschreiber und Berater von Barack Obama) ",Manfred WEBER,"Spitzenkandidat der EVP für die Europawahl im Mai 2019, CSU",Dagmar ROSENFELD,"Journalistin ""Die Welt""",Klaas HEUFER-UMLAUF,Moderator,Ben RHODES,Autor und ehem. Redenschreiber und Berater von Barack Obama,,,,,,,,
 Markus Lanz 14.02.2019,1217,12,18,14.02.2019,075'28,23:17:58 - 00:33:26," 23:17:58 - 00:33:26 075'28 O-Ton Interview Markus LANZ mit den Studiogästen Thomas DE MAIZIERE (Politiker, CDU), Jacqueline STRAUB (Theologin, Journalistin), Detlev KÜMMEL (Galerist für Kunst und Antiquitäten) und Julian SCHMITZ-AVILA (Kunst- und Antiquitätenhändler) ",Thomas DE,"Politiker, CDU",Jacqueline STRAUB,"Theologin, Journalistin",Detlev KÜMMEL,Galerist für Kunst und Antiquitäten,Julian SCHMITZ-AVILA,Kunst- und Antiquitätenhändler,,,,,,,,
 Markus Lanz 19.02.2019,1218,12,19,19.02.2019,075'38,22:46:14 - 00:01:52," 22:46:14 - 00:01:52 075'38 O-Ton Interview Markus LANZ mit den Studiogästen Hans EICHEL (ehem. BMF, SPD), Daniel STELTER (Wirtschaftsökonom), Jorge GONZALEZ (Model, Entertainer), Andrea HNIOPEK (Sozialarbeiterin) und Dominik BLOH (ehem. Obdachloser) ",Hans EICHEL,"ehem. BMF, SPD",Daniel STELTER,Wirtschaftsökonom,Jorge GONZALEZ,"Model, Entertainer",Andrea HNIOPEK,Sozialarbeiterin,Dominik BLOH,ehem. Obdachloser,,,,,,
 Markus Lanz 20.02.2019,1219,12,20,20.02.2019,075'18,23:14:52 - 00:30:10," 23:14:52 - 00:30:10 075'18 O-Ton Interview Markus LANZ mit den Studiogästen Nicola BEER (GenSekr FDP und Spitzenkandidatin Europawahl 26.05.2019), Florian EDER (Journalist ""Politico"" englischsprachiges Politikmagazin), Johann LAFER (Koch) und Dr. Harald SCHNEIDER (DNA-Experte und Leiter kriminaltechnisches Labor Hess. LKA) ",Nicola BEER,GenSekr FDP und Spitzenkandidatin Europawahl 26.05.2019,Florian EDER,"Journalist ""Politico"" englischsprachiges Politikmagazin",Johann LAFER,Koch,Harald SCHNEIDER,DNA-Experte und Leiter kriminaltechnisches Labor Hess. LKA,,,,,,,,
 Markus Lanz 21.02.2019,1220,12,21,21.02.2019,074'48,23:18:48 - 00:33:36," 23:18:48 - 00:33:36 074'48 O-Ton Interview Markus LANZ mit den Studiogästen Prof. Dr. Dr. med. Karl LAUTERBACH (Gesundheitspolitiker, SPD), Prof. Dr. med. Dieter KÖHLER (Lungenfacharzt), Hannah REUTER (seit Geburt blind) und Gerd NEFZER (Spezialeffekte-Künstler und Oscar-Preisträger 2018) ",Karl LAUTERBACH,"Gesundheitspolitiker, SPD",Dieter KÖHLER,Lungenfacharzt,Hannah REUTER,seit Geburt blind,Gerd NEFZER,Spezialeffekte-Künstler und Oscar-Preisträger 2018,,,,,,,,
 Markus Lanz 26.02.2019,1221,12,22,26.02.2019,075'36,23:45:31 - 01:01:07," 23:45:31 - 01:01:07 075'36 O-Ton Interview Markus LANZ mit den Studiogästen Walter RIESTER (ehem. Bundesminister für Arbeit, SPD), Gisela QUENSTEDT (Rentnerin, angewiesen auf Lebensmittel von ""Die Tafel""), Ines GEIPEL (Autorin und ehem. Leistungssportlerin DDR) und Bela B FELSENHEIMER (Autor und Musiker ""Die Ärzte"") ",Walter RIESTER,"ehem. Bundesminister für Arbeit, SPD",Gisela QUENSTEDT,"Rentnerin, angewiesen auf Lebensmittel von ""Die Tafel""",Ines GEIPEL,Autorin und ehem. Leistungssportlerin DDR,Bela B FELSENHEIMER,"Autor und Musiker ""Die Ärzte""",,,,,,,,
 Markus Lanz 27.02.2019,1222,12,23,27.02.2019,076'00,23:15:11 - 00:31:11," 23:15:11 - 00:31:11 076'00 O-Ton Interview Markus LANZ mit den Studiogästen Norbert RÖTTGEN ( Vors. Auswärtiger Ausschuss Deutscher Bundestag, CDU), Prof. Christian HACKE (Politikwissenschaftler), Verona POOTH (Moderatorin) und Ferdinand VON SCHIRACH (Autor) ",Norbert RÖTTGEN,"Vors. Auswärtiger Ausschuss Deutscher Bundestag, CDU",Christian HACKE,Politikwissenschaftler,Verona POOTH,Moderatorin,Ferdinand VON,Autor,,,,,,,,
 Markus Lanz 28.02.2019,1223,12,24,28.02.2019,075'00,23:15:55 - 00:30:55," 23:15:55 - 00:30:55 075'00 O-Ton Interview Markus LANZ mit den Studiogästen Thomas OPPERMANN (Vizepräs. Deutscher Bundestag, SPD), Claudia KADE (Journalistin ""Welt""), Alexander JORDE (Auszubildender Gesundheitspfleger / Krankenpfleger), Patrick ESUME (Football-Coach und Experte für American Football) und Christoph DOMMISCH (Icke DOMMISCH) (Moderator) ",Thomas OPPERMANN,"Vizepräs. Deutscher Bundestag, SPD",Claudia KADE,"Journalistin ""Welt""",Alexander JORDE,Auszubildender Gesundheitspfleger / Krankenpfleger,Patrick ESUME,Football-Coach und Experte für American Football,Christoph DOMMISCH,Icke DOMMISCH,,,,,,
 Markus Lanz 05.03.2019,1224,12,25,05.03.2019,075'21,22:45:28 - 00:00:49," 22:45:28 - 00:00:49 075'21 O-Ton Interview Markus LANZ mit den Studiogästen Klaus VON DOHNANYI (ehem. Bundesminister für Bildung und Wissenschaft, SPD) und Giovanni DI LORENZO (Journalist und Autor) ",Klaus VON,"ehem. Bundesminister für Bildung und Wissenschaft, SPD",Giovanni DI,Journalist und Autor,,,,,,,,,,,,
 Markus Lanz 06.03.2019,1225,12,26,06.03.2019,075'37,23:38:29 - 00:54:06," 23:38:29 - 00:54:06 075'37 O-Ton Interview Markus LANZ mit den Studiogästen Andrea NAHLES (Vors. SPD), Markus FELDENKIRCHEN (Journalist und Schriftsteller), Prof. Harald WELZER (Soziologe und Sozialpsychologe), Prof. Andreas MICHALSEN (Arzt) ",Andrea NAHLES,Vors. SPD,Markus FELDENKIRCHEN,Journalist und Schriftsteller,Harald WELZER,Soziologe und Sozialpsychologe,Andreas MICHALSEN,Arzt,,,,,,,,
 Markus Lanz 07.03.2019,1226,12,27,07.03.2019,075'14,23:19:42 - 00:34:56," 23:19:42 - 00:34:56 075'14 O-Ton Interview Markus LANZ mit den Studiogästen Katrin GÖRING-ECKARDT (Fraktionsvors. Bündnis 90 / Die Grünen), Stephan GRÜNEWALD (Trendforscher, Gesellschaftsforscher), Giovanni ZARRELLA (Sänger, Moderator) und Clemantina ZARRELLA (Tochter von Gastarbeitern) ",Katrin GÖRING-ECKARDT,Fraktionsvors. Bündnis 90 / Die Grünen,Stephan GRÜNEWALD,"Trendforscher, Gesellschaftsforscher",Giovanni ZARRELLA,"Sänger, Moderator",Clemantina ZARRELLA,Tochter von Gastarbeitern,,,,,,,,
 Markus Lanz 12.03.2019,1227,12,28,12.03.2019,074'56,10:00:00 - 11:14:56," 10:00:00 - 11:14:56 074'56 O-Ton Interview Markus LANZ mit den Studiogästen Olaf SUNDERMEYER (Journalist), Ben SALOMO (Rapper, Autor), Hardy KRÜGER jr (Schauspieler), Alice KRÜGER (Ehefrau von Hardy Krüger jr) und Bas KAST (Wissenschaftsjournalist) ",Olaf SUNDERMEYER,Journalist,Ben SALOMO,"Rapper, Autor",Hardy KRÜGER,Schauspieler,Alice KRÜGER,Ehefrau von Hardy Krüger jr,Bas KAST,Wissenschaftsjournalist,,,,,,
 Markus Lanz 13.03.2019,1228,12,29,13.03.2019,075'36,10:00:00 - 11:15:36," 10:00:00 - 11:15:36 075'36 O-Ton Interview Markus LANZ mit den Studiogästen Günther BECKSTEIN (Politiker), Nikolaus BLOME (Journalist)",Günther BECKSTEIN,Politiker,Nikolaus BLOME,Journalist,,,,,,,,,,,,
