Sendungstitel,FolgenNr,Staffel,Folge,Datum,Dauer,Sendezeit,Gästesubstr,Gast_1,Beschreibung_1,Gast_2,Beschreibung_2,Gast_3,Beschreibung_3,Gast_4,Beschreibung_4,Gast_5,Beschreibung_5,Gast_6,Beschreibung_6,Gast_7,Beschreibung_7,Gast_8,Beschreibung_8,Gast_9,Beschreibung_9,Gast_10,Beschreibung_10,Gast_11,Beschreibung_11,Gast_12,Beschreibung_12,Gast_13,Beschreibung_13,Gast_14,Beschreibung_14,Gast_15,Beschreibung_15,Gast_16,Beschreibung_16,Gast_17,Beschreibung_17,Gast_18,Beschreibung_18,Gast_19,Beschreibung_19,Gast_20,Beschreibung_20,Gast_21,Beschreibung_21
 Markus Lanz 29.04.2010,,,,29.04.2010,066'22,23:21:46 - 00:28:08," 23:21:46 - 00:28:08 066'22 Interview Markus LANZ mit den Studiogästen Hans Olaf HENKEL (ehem. Top-Manager und BDI-Präsident), Hans EICHEL (ehem. Bundesfinanzminister), Dirk MÜLLER (Börsenmakler und Autor), Jean PÜTZ (Moderator und Kultbastler), Pina COLUCCIA (Ehefrau von Pütz), Matthias STEINER (Olympiasieger Gewichtheben), Inge STEINER (Ehefrau von Matthias Steiner) und Michael MITTERMEIER (Comedian)",Hans Olaf HENKEL,ehem. Top-Manager und BDI-Präsident,Hans EICHEL,ehem. Bundesfinanzminister,Dirk MÜLLER,Börsenmakler und Autor,Jean PÜTZ,Moderator und Kultbastler,Pina COLUCCIA,Ehefrau von Pütz,Matthias STEINER,Olympiasieger Gewichtheben,Inge STEINER,Ehefrau von Matthias Steiner,Michael MITTERMEIER,Comedian,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 04.05.2010,,,,04.05.2010,076'05,23:00:11 - 00:16:16," 23:00:11 - 00:16:16 076'05 Interview Markus LANZ mit den Studiogästen Andrea KIEWEL (Moderatorin), Torsten HEIM (Polizist, Darsteller Doku-Soap ""Toto und Harry""), Thomas WEINKAU (Polizist, Darsteller Doku-Soap ""Toto und Harry"") und Dr. Stefanie MÄRZHEUSER (Kinderchirurgin und Expertin für Kindersicherheit)",Andrea KIEWEL,Moderatorin,Torsten HEIM,"Polizist, Darsteller Doku-Soap ""Toto und Harry""",Thomas WEINKAU,"Polizist, Darsteller Doku-Soap ""Toto und Harry""",Stefanie MÄRZHEUSER,Kinderchirurgin und Expertin für Kindersicherheit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 05.05.2010,,,,05.05.2010,065'19,23:54:22 - 00:59:41," 23:54:22 - 00:59:41 065'19 Interview Markus LANZ mit den Studiogästen Markus KOCH (Börsenexperten), Carola FERSTL (Moderatorin), Joachim LLAMBI (Jurymitglied RTL-Castingshow ""Let's dance""), Lilli VAN DER COELEN (bekam eine Herztransplantation), Michaela VAN DER COELEN (Mutter von Lilli), Bastian HEIDHOFF (wartet auf Spenderherz, lebt seit fünf Jahren mit einem künstlichen Herz) und Dr. Reinhard PREGLA (Herzchirurg)",Markus KOCH,Börsenexperten,Carola FERSTL,Moderatorin,Joachim LLAMBI,"Jurymitglied RTL-Castingshow ""Let's dance""",Lilli VAN,bekam eine Herztransplantation,Michaela VAN,Mutter von Lilli,Bastian HEIDHOFF,"wartet auf Spenderherz, lebt seit fünf Jahren mit einem künstlichen Herz",Reinhard PREGLA,Herzchirurg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 06.05.2010,,,,06.05.2010,059'43,23:21:58 - 00:21:41," 23:21:58 - 00:21:41 059'43 Interview Markus LANZ mit den Studiogästen Lilo von KIESENWETTER (Hellseherin ""Seherin vom Rhein""), Volker LECHTENBRINK (Schauspieler, Synchronsprecher, Sänger uvm.), Gunter GABRIEL (Sänger) und Hera LIND (Schriftstellerin)",Volker LECHTENBRINK,"Schauspieler, Synchronsprecher, Sänger uvm.",Gunter GABRIEL,Sänger,Hera LIND,Schriftstellerin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 11.05.2010,,,,11.05.2010,073'36,23:09:13 - 00:22:49," 23:09:13 - 00:22:49 073'36 Interview Markus LANZ mit den Studiogästen Ingo APPELT (Kabarettist), Dieter NUHR (Kabarettist), Ulrich WICKERT (ehem. Nachtrichtensprecher und Autor), Julia HEILMANN (Autorin) und Thomas LINDEMANN (Autor)",Ingo APPELT,Kabarettist,Dieter NUHR,Kabarettist,Ulrich WICKERT,ehem. Nachtrichtensprecher und Autor,Julia HEILMANN,Autorin,Thomas LINDEMANN,Autor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 18.05.2010,,,,18.05.2010,075'35,22:45:34 - 00:01:09," 22:45:34 - 00:01:09 075'35 Interview Markus LANZ mit den Studiogästen Alfred BIOLEK (Moderator), Desiree NICK (Kabarettistin), Atze SCHRÖDER (Comedian) und Micky BEISENHERZ (Moderator und Autor)",Alfred BIOLEK,Moderator,Desiree NICK,Kabarettistin,Atze SCHRÖDER,Comedian,Micky BEISENHERZ,Moderator und Autor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 19.05.2010,,,,19.05.2010,065'27,23:35:19 - 00:40:46," 23:35:19 - 00:40:46 065'27 Interview Markus LANZ mit den Studiogästen Rudolf EGG (Vorstandvors. der Stiftung Deutsches Forum für Kriminalprävention), Dieter LANGENDÖRFER (war 1996 Chefermittler im Entführungsfall Reemtsma) und Rudi CERNE (Moderator ""Aktenzeichen XY...ungelöst"") per Schaltung, Michael BUBACK (Sohn des getöteten Generalbundesanwalt Siegfried Buback), Dr. Ulrich ENDRES (Anwalt), Stefan AUST (Journalist und Autor), Anna WAGNER (Nachkomme einer Samenspende), Prof. Thomas KATZORKE (Gynäkologe und Reproduktionsmediziner), Dr. Petra THORN (Familientherapeutin) und Carsten UHR (Samenspender)",Rudolf EGG,Vorstandvors. der Stiftung Deutsches Forum für Kriminalprävention,Dieter LANGENDÖRFER,war 1996 Chefermittler im Entführungsfall Reemtsma,Rudi CERNE,"Moderator ""Aktenzeichen XY...ungelöst""",Michael BUBACK,Sohn des getöteten Generalbundesanwalt Siegfried Buback,Ulrich ENDRES,Anwalt,Stefan AUST,Journalist und Autor,Anna WAGNER,Nachkomme einer Samenspende,Thomas KATZORKE,Gynäkologe und Reproduktionsmediziner,Petra THORN,Familientherapeutin,Carsten UHR,Samenspender,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 20.05.2010,,,,20.05.2010,066'53,00:37:24 - 01:44:17," 00:37:24 - 01:44:17 066'53 Interview Markus LANZ mit den Studiogästen Helga ROHRA (leidet an Demenz), Jens ROHRA (Sohn von Helga Rohra), Prof. Hans FÖRSTL (Direktor Klinik für Psychiatrie und Psychotherapie der Technischen Universität München), Matze KNOP (Parodist), Jörg KNÖR (Parodist) und Marti FISCHER (Parodist Newcomer)",Helga ROHRA,leidet an Demenz,Jens ROHRA,Sohn von Helga Rohra,Hans FÖRSTL,Direktor Klinik für Psychiatrie und Psychotherapie der Technischen Universität München,Matze KNOP,Parodist,Jörg KNÖR,Parodist,Marti FISCHER,Parodist Newcomer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 25.05.2010,,,,25.05.2010,076'26,22:45:27 - 00:01:53," 22:45:27 - 00:01:53 076'26 Interview Markus LANZ mit den Studiogästen Andrea BERG (Schlagersänger), Sabatina JAMES (widersetzte sich erfolgreich einer Zwangsheirat), Regina KALTHEGENER (Rechtsanwältin), Vera JANZEN und Werner JANZEN (Eltern von Mordopfer Thomas M.) und Gisela FRIEDRICHSEN (Spiegel-Journalistin)",Andrea BERG,Schlagersänger,Sabatina JAMES,widersetzte sich erfolgreich einer Zwangsheirat,Regina KALTHEGENER,Rechtsanwältin,Vera JANZEN,Eltern von Mordopfer Thomas M.,Werner JANZEN,Eltern von Mordopfer Thomas M.,Gisela FRIEDRICHSEN,Spiegel-Journalistin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 26.05.2010,,,,26.05.2010,065'41,23:18:59 - 00:24:40," 23:18:59 - 00:24:40 065'41 Interview Markus LANZ mit den Studiogästen Benedict EISENBERG (Bruder von Tennessee Eisenberg, der von der Polizei erschossen wurde), Renate EISENBERG (Mutter von Tennessee Eisenberg), Thomas TESSERAUX (Rechtsanwalt), Joachim HERRMANN (Innenminister von Bayern), Katja EBSTEIN (Schlagersängerin), Kim FISHER (Moderatorin), Ralph MORGENSTERN (Moderator), Thomas M STEIN (Musikproduzent) und Michael WIGGE (Reporter und Moderator)",Benedict EISENBERG,"Bruder von Tennessee Eisenberg, der von der Polizei erschossen wurde",Renate EISENBERG,Mutter von Tennessee Eisenberg,Thomas TESSERAUX,Rechtsanwalt,Joachim HERRMANN,Innenminister von Bayern,Katja EBSTEIN,Schlagersängerin,Kim FISHER,Moderatorin,Ralph MORGENSTERN,Moderator,Thomas M STEIN,Musikproduzent,Michael WIGGE,Reporter und Moderator,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 27.05.2010,,,,27.05.2010,065'43,23:21:05 - 00:26:48," 23:21:05 - 00:26:48 065'43 Interview Markus LANZ mit den Studiogästen Peter KRAUS (Sänger), Joachim LLAMBI (Juror bei ""Let's Dance""), Sophia THOMALLA (Schauspielerin) und Kurt WESTERGAARD (Karikaturist). ",Peter KRAUS,Sänger,Joachim LLAMBI,"Juror bei ""Let's Dance""",Sophia THOMALLA,Schauspielerin,Kurt WESTERGAARD,Karikaturist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 01.06.2010,,,,01.06.2010,075'56,23:46:44 - 01:02:40," 23:46:44 - 01:02:40 075'56 Interview Markus LANZ mit den Studiogästen Justus HAUCAP (Volkswirt), Wolfgang GRUPP (Unternehmer), Carola FERSTL (Journalistin) und Michael JÜRGS (Journalist)",Justus HAUCAP,Volkswirt,Wolfgang GRUPP,Unternehmer,Carola FERSTL,Journalistin,Michael JÜRGS,Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 02.06.2010,,,,02.06.2010,066'00,23:17:40 - 00:23:40," 23:17:40 - 00:23:40 066'00 Interview Markus LANZ mit den Studiogästen Julie FROST (Komponistin und Texterin vom Siegerhit ""Satellite"") und John GORDON (Komponist und Texter vom Siegerhit ""Satellite""), Peter URBAN (Radio-Moderator), Mary ROOS (Sängerin), Aisha ROKOVSKY (Kugelstoßerin), Judy WINTER (Schauspielerin), Monica INVANCAN (Model), Kester SCHLENZ (Frauenversteher)",Julie FROST,"Komponistin und Texterin vom Siegerhit ""Satellite""",John GORDON,"Komponist und Texter vom Siegerhit ""Satellite""",Peter URBAN,Radio-Moderator,Mary ROOS,Sängerin,Aisha ROKOVSKY,Kugelstoßerin,Judy WINTER,Schauspielerin,Monica INVANCAN,Model,Kester SCHLENZ,Frauenversteher,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 03.06.2010,,,,03.06.2010,065'39,23:34:03 - 00:39:42," 23:34:03 - 00:39:42 065'39 Interview Markus LANZ mit den Studiogästen Heide SIMONIS (ehem. Politikerin), Wolfgang BOSBACH (CDU-Abgeordnete und Vorsitzender vom Innenausschuss) und Peter HAHNE (ZDF-Journalist), Andreas KIELING (Tier-und Dokumentarfilmer), Angelika RÖPKE (wurde auf ihrem Boot von Piraten ",Heide SIMONIS,ehem. Politikerin,Wolfgang BOSBACH,CDU-Abgeordnete und Vorsitzender vom Innenausschuss,Peter HAHNE,ZDF-Journalist,Andreas KIELING,Tier-und Dokumentarfilmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 08.06.2010,,,,08.06.2010,076'29,23:38:46 - 00:55:15," 23:38:46 - 00:55:15 076'29 Interview Markus LANZ mit Studiogästen Hans Ulrich JÖRGES (Journalist), Hans Hermann TIEDJE (Journalist), Gabi DECKER (Kabarettistin) und Gisela FRIEDRICHSEN (Spiegel-Gerichtsreporterin), ",Hans Ulrich JÖRGES,Journalist,Hans Hermann TIEDJE,Journalist,Gabi DECKER,Kabarettistin,Gisela FRIEDRICHSEN,Spiegel-Gerichtsreporterin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 09.06.2010,,,,09.06.2010,065'33,23:16:49 - 00:22:22," 23:16:49 - 00:22:22 065'33 Interview Markus LANZ mit den Studiogästen Dieter KRONZUCKER (Journalist), Michael POLIZA (Autor und Fotograf), Erich RITTER (Haiforscher) und Dirk STEFFENS (Moderator). ",Dieter KRONZUCKER,Journalist,Michael POLIZA,Autor und Fotograf,Erich RITTER,Haiforscher,Dirk STEFFENS,Moderator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 04.08.2010,,,,04.08.2010,065'37,23:17:03 - 00:22:40," 23:17:03 - 00:22:40 065'37 Interview Markus LANZ mit den Studiogästen Ferdinand VON SCHIRACH (Autor), Michael FRÖHLICH (Autohändler). Schaltgespräch LANZ mit Hellmuth KARASEK (Autor). ",Ferdinand VON,Autor,Michael FRÖHLICH,Autohändler,Schaltgespräch LANZ,Autor,Hellmuth KARASEK,Autor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 05.08.2010,,,,05.08.2010,066'46,23:37:13 - 00:43:59," 23:37:13 - 00:43:59 066'46 Interview Markus LANZ mit den Studiogästen Jürgen DREWS (Sänger), Daniela KATZENBERGER (Fernseh-Star), Elke SOMMER (Schauspielerin), Jimmy JUMP (berühmter ""Flitzer"") und Theo BRENIG (schmuggelt sich auf VIP-Veranstaltungen), ",Jürgen DREWS,Sänger,Daniela KATZENBERGER,Fernseh-Star,Elke SOMMER,Schauspielerin,Jimmy JUMP,"berühmter ""Flitzer""",Theo BRENIG,schmuggelt sich auf VIP-Veranstaltungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 12.08.2010,,,,12.08.2010,067'58,22:58:32 - 00:06:30," 22:58:32 - 00:06:30 067'58 Interview Markus LANZ mit den Studiogästen Lothar MATTHÄUS (Fußballspieler und Fußballtrainer), Steffen HENSSLER (Fernsehkoch), Sonja ZIETLOW (Moderatorin) und Vera INT-VEEN (Moderatorin), ",Lothar MATTHÄUS,Fußballspieler und Fußballtrainer,Steffen HENSSLER,Fernsehkoch,Sonja ZIETLOW,Moderatorin,Vera INT-VEEN,Moderatorin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 18.08.2010,,,,18.08.2010,063'10,23:30:01 - 00:33:11," 23:30:01 - 00:33:11 063'10 Interview Markus LANZ mit den Studiogästen Beate MERK (Justizministerin Bayern, CSU), Peter HAHNE (Moderator), Bernd BEHNKE (Fachanwalt für Strafrecht), Joachim STEINHÖFEL (Rechtsanwalt), Jorgo CHATZIMARKAKIS (FDP), Sabine NOWARA (Kriminalpsychologin) und Karl RUHSTORFER (seine Tochter Margit wurde 1997 von dem Sexualmörder Daniel I umgebracht), ",Beate MERK,"Justizministerin Bayern, CSU",Peter HAHNE,Moderator,Bernd BEHNKE,Fachanwalt für Strafrecht,Joachim STEINHÖFEL,Rechtsanwalt,Jorgo CHATZIMARKAKIS,FDP,Sabine NOWARA,Kriminalpsychologin,Karl RUHSTORFER,seine Tochter Margit wurde 1997 von dem Sexualmörder Daniel I umgebracht,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 19.08.2010,,,,19.08.2010,065'33,23:46:33 - 00:52:06," 23:46:33 - 00:52:06 065'33 Interview Markus LANZ mit den Studiogästen Jack WHITE (Musikproduzent), Tony MARSHALL (Sänger), Katrin MÜLLER-HOHENSTEIN (Moderatorin, Sportjournalistin) und Ulrich WALTER (Astronaut), ",Jack WHITE,Musikproduzent,Tony MARSHALL,Sänger,Katrin MÜLLER-HOHENSTEIN,"Moderatorin, Sportjournalistin",Ulrich WALTER,Astronaut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 25.08.2010,,,,25.08.2010,066'45,23:18:37 - 00:25:22," 23:18:37 - 00:25:22 066'45 Interview Markus LANZ mit den Studiogästen Peter ZWEGAT (Deutschlands bekanntester Schuldnerberater), Nina HAGEN (Sängerin) und Jürgen KUHL (Der Dollarfälscher), ",Peter ZWEGAT,Deutschlands bekanntester Schuldnerberater,Nina HAGEN,Sängerin,Jürgen KUHL,Der Dollarfälscher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 26.08.2010,,,,26.08.2010,066'17,23:17:19 - 00:23:36," 23:17:19 - 00:23:36 066'17 Interview Markus LANZ mit den Studiogästen Katharina SAALFRANK (Die Super Nanny), Désirée NICK (Kabarettistin und Schauspielerin) und Andreas LAUN (Weihbischof). ",Katharina SAALFRANK,Die Super Nanny,Andreas LAUN,Weihbischof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 01.09.2010,,,,01.09.2010,064'58,23:21:56 - 00:26:54," 23:21:56 - 00:26:54 064'58 Interview Markus LANZ mit den Studiogästen Helmut BERGER (Schauspieler), Erich von DÄNIKEN (Autor), Gerlinde KALTENBRUNNER (Bergsteigerin), Ralf DUJMOVITS (Bergsteiger und Ehemann von Gerlinde Kaltenbrunner), Harald LESCH (Astrophysiker und Wissenschaftsjournalist) sowie Ulrich WALTER (Astronaut). ",Helmut BERGER,Schauspieler,Gerlinde KALTENBRUNNER,Bergsteigerin,Ralf DUJMOVITS,Bergsteiger und Ehemann von Gerlinde Kaltenbrunner,Harald LESCH,Astrophysiker und Wissenschaftsjournalist,Ulrich WALTER,Astronaut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 02.09.2010,,,,02.09.2010,066'37,23:22:17 - 00:28:54," 23:22:17 - 00:28:54 066'37 Interview Markus LANZ mit den Studiogästen Melda AKBAS (Autorin), Fadi SAAD (Streetworker), Ulrich WICKERT (ehem. Moderator ""Tagesthemen), Wilfried BLOCK (Vater der ermordeten Heike Block) und Barbara KOPP (Rechtsanwältin von Wilfried Block). ",Melda AKBAS,Autorin,Fadi SAAD,Streetworker,Ulrich WICKERT,"ehem. Moderator ""Tagesthemen",Wilfried BLOCK,Vater der ermordeten Heike Block,Barbara KOPP,Rechtsanwältin von Wilfried Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 08.09.2010,,,,08.09.2010,066'57,23:27:22 - 00:34:19," 23:27:22 - 00:34:19 066'57 Interview Markus LANZ mit den Studiogästen Jürgen VON DER LIPPE (Komiker, Moderator), Michael MITTERMEIER (Komiker), Gudrun MITTERMEIER (Ehefrau von Michael Mittermeier), Ildiko VON KÜRTHY (Journalistin) und Claudia KOTTER (Patientin). ",Jürgen VON,"Komiker, Moderator",Michael MITTERMEIER,Komiker,Gudrun MITTERMEIER,Ehefrau von Michael Mittermeier,Ildiko VON,Journalistin,Claudia KOTTER,Patientin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 09.09.2010,,,,09.09.2010,064'33,23:18:22 - 00:22:55," 23:18:22 - 00:22:55 064'33 Interview Markus LANZ mit den Studiogästen Heinz BUSCHKOWSKY (SPD-Politiker), Hannes JAENICKE (Schauspieler), Guido CANTZ (Komiker), Roger WILLEMSEN (Autor). ",Heinz BUSCHKOWSKY,SPD-Politiker,Hannes JAENICKE,Schauspieler,Guido CANTZ,Komiker,Roger WILLEMSEN,Autor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 15.09.2010,,,,15.09.2010,065'50,23:29:04 - 00:34:54," 23:29:04 - 00:34:54 065'50 Interview Markus LANZ mit den Studiogästen Rolf TÖPPERWIEN (Sportreporter), Ina MÜLLER (Sängerin) und Edmund STOIBER (ehem. Ministerpräsident von Bayern). ",Rolf TÖPPERWIEN,Sportreporter,Ina MÜLLER,Sängerin,Edmund STOIBER,ehem. Ministerpräsident von Bayern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 16.09.2010,,,,16.09.2010,064'44,23:20:29 - 00:25:13," 23:20:29 - 00:25:13 064'44 Interview Markus LANZ mit den Studiogästen Verona POOTH (Moderatorin, Werbeikone), Mario BARTH (Komiker), Bernd SIGGELKOW (Gründer Kinder- und Jugendhilfswerk ""Die Arche e.V.""), Tom BUHROW (Moderator ) und Ehefrau Sabine STAMER. ",Verona POOTH,"Moderatorin, Werbeikone",Mario BARTH,Komiker,Bernd SIGGELKOW,"Gründer Kinder- und Jugendhilfswerk ""Die Arche e.V.""",Tom BUHROW,Moderator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 21.09.2010,,,,21.09.2010,075'00,22:44:36 - 23:59:36," 22:44:36 - 23:59:36 075'00 Interview Markus LANZ mit den Studiogästen Rita SCHLEGEL (Grundschuldirektorin einer Brennpunktschule), Heinz BUSCHKOWSKY (Bürgermeister Berlin-Neukölln), Cem ÖZDEMIR (Bundesvorsitzende der Grünen), Andreas MÜLLER (Jugendrichter), Melda AKBAS (Autorin) und Özlem NAS (Islamwissenschaftlerin). ",Rita SCHLEGEL,Grundschuldirektorin einer Brennpunktschule,Heinz BUSCHKOWSKY,Bürgermeister Berlin-Neukölln,Cem ÖZDEMIR,Bundesvorsitzende der Grünen,Andreas MÜLLER,Jugendrichter,Melda AKBAS,Autorin,Özlem NAS,Islamwissenschaftlerin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 22.09.2010,,,,22.09.2010,065'16,23:16:37 - 00:21:53," 23:16:37 - 00:21:53 065'16 Interview Markus LANZ mit den Studiogästen Sissi PERLINGER (Komikerin), Max GIERMANN (Komiker), Michael KESSLER (Komiker), Bernhard HOECKER (Komiker) und Thorsten HAVENER (Gedankenleser). ",Sissi PERLINGER,Komikerin,Max GIERMANN,Komiker,Michael KESSLER,Komiker,Bernhard HOECKER,Komiker,Thorsten HAVENER,Gedankenleser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 23.09.2010,,,,23.09.2010,067'56,23:21:35 - 00:29:31," 23:21:35 - 00:29:31 067'56 Interview Markus LANZ mit den Studiogästen Johann LAFER (Fernseh-Koch), Horst LICHTER (Fernseh-Koch), Renate KÜNAST (Fraktionsvorsitzende der Grünen), Reinhold MESSNER (Bergsteiger) und Moritz BLEIBTREU (Schauspieler). ",Johann LAFER,Fernseh-Koch,Horst LICHTER,Fernseh-Koch,Renate KÜNAST,Fraktionsvorsitzende der Grünen,Reinhold MESSNER,Bergsteiger,Moritz BLEIBTREU,Schauspieler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 28.09.2010,,,,28.09.2010,076'06,23:14:13 - 00:30:19," 23:14:13 - 00:30:19 076'06 Interview Markus LANZ mit den Studiogästen Wayne CARPENDALE (Schauspieler), Judith RAKERS (Journalistin), David GARRETT (Star-Geiger) und Ralf HUSMANN (Autor). ",Wayne CARPENDALE,Schauspieler,Judith RAKERS,Journalistin,David GARRETT,Star-Geiger,Ralf HUSMANN,Autor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 29.09.2010,,,,29.09.2010,066'01,23:15:00 - 00:21:01," 23:15:00 - 00:21:01 066'01 Interview Markus LANZ mit den Studiogästen Giovanni DI LORENZO (Journalist), Manon STRACHE (Schauspielerin), Jaecki SCHWARZ (Schauspieler), ",Giovanni DI,Journalist,Manon STRACHE,Schauspielerin,Jaecki SCHWARZ,Schauspieler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 30.09.2010,,,,30.09.2010,066'20,23:18:29 - 00:24:49," 23:18:29 - 00:24:49 066'20 Interview Markus LANZ mit den Studiogästen Udo POLLMER (Lebensmittelchemiker und Autor), Frank ROSIN (TV-Koch), Frank SCHÄTZING (Bestsellerautor), ",Udo POLLMER,Lebensmittelchemiker und Autor,Frank ROSIN,TV-Koch,Frank SCHÄTZING,Bestsellerautor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 05.10.2010,,,,05.10.2010,076'27,22:44:46 - 00:01:13," 22:44:46 - 00:01:13 076'27 Interview Markus LANZ mit den Studiogästen Dagmar EICHHORN (Mutter des Serienmörders Frank Gust), Adelheid KASTNER (forensische Psychiaterin), Rudi CERNE (Moderator ""Aktenzeichen XY ungelöst""), Josef WILFLING (Mordermittler), Mark BENECKE (Forensiker), ",Dagmar EICHHORN,Mutter des Serienmörders Frank Gust,Adelheid KASTNER,forensische Psychiaterin,Rudi CERNE,"Moderator ""Aktenzeichen XY ungelöst""",Josef WILFLING,Mordermittler,Mark BENECKE,Forensiker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 06.10.2010,,,,06.10.2010,066'51,23:34:21 - 00:41:12," 23:34:21 - 00:41:12 066'51 Interview Markus LANZ mit den Studiogästen Rosi GOLLMANN (Religionslehrerin), Cordula STRATMANN (Schauspielerin und ehemalige Familientherapeutin), Patrick LINDNER (Sänger), Franz BAYRHOF und Manuel JOKISCH (Wettkönige bei Wetten Dass), ",Rosi GOLLMANN,Religionslehrerin,Cordula STRATMANN,Schauspielerin und ehemalige Familientherapeutin,Patrick LINDNER,Sänger,Franz BAYRHOF,Wettkönige bei Wetten Dass,Manuel JOKISCH,Wettkönige bei Wetten Dass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 07.10.2010,,,,07.10.2010,066'25,23:22:59 - 00:29:24," 23:22:59 - 00:29:24 066'25 Interview Markus LANZ mit den Studiogästen Mike KRÜGER (Entertainer), Jörg PILAWA (Fernsehmoderator), Konny REINMANN und Manuela REIMANN (Deutschlands beliebteste Auswanderer)",Mike KRÜGER,Entertainer,Jörg PILAWA,Fernsehmoderator,Konny REINMANN,Deutschlands beliebteste Auswanderer,Manuela REIMANN,Deutschlands beliebteste Auswanderer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 13.10.2010,,,,13.10.2010,065'24,10:00:00 - 11:05:24," 10:00:00 - 11:05:24 065'24 Interview Markus LANZ mit Studiogästen Ulrike KRIENER (Schauspielerin), Wolf von LOJEWSKI (Journalist), Nazan ECKES (Moderatorin), Düzen TEKKAL (TV-Journalistin) und Aygül ÖZKAN (Sozialministerin Niedersachsen, CDU)",Ulrike KRIENER,Schauspielerin,Nazan ECKES,Moderatorin,Düzen TEKKAL,TV-Journalistin,Aygül ÖZKAN,"Sozialministerin Niedersachsen, CDU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 14.10.2010,,,,14.10.2010,066'31,23:23:58 - 00:30:29," 23:23:58 - 00:30:29 066'31 Interview Markus LANZ mit den Studiengästen Ruth WESTHEIMER (Sexualtherapeutin), Detlef ""D"" SOOST (Tanzlehrer), Jochen BUSSE (Kabarettist, Schauspieler) und Jose Augusto FUENTES (Hundesbesitzer)",Interview Markus LANZ,Sexualtherapeutin,Studiengästen Ruth WESTHEIMER,Sexualtherapeutin,Jochen BUSSE,"Kabarettist, Schauspieler",Jose Augusto FUENTES,Hundesbesitzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 19.10.2010,,,,19.10.2010,074'34,23:11:39 - 00:26:13, 23:11:39 - 00:26:13 074'34 Interview Markus LANZ mit Studiogästen Walter SITTLER (Schauspieler),Walter SITTLER,Schauspieler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
