ID,Datum,Talkshow,Name_voll_raw,Name,Funktion,Beschreibung,Partei,Summe,Gruppe
anne-will_293-wem-nuetzt-ttip-nur-konzernen-oder-auch-verbrauchern-714141,2015-05-20,Anne Will,Friedrich Merz,Friedrich Merz,Gast,"CDU, Vorsitzender Atlantik-Brücke e.V.",CDU,1,Politik
anne-will_293-wem-nuetzt-ttip-nur-konzernen-oder-auch-verbrauchern-714141,2015-05-20,Anne Will,Thilo Bode,Thilo Bode,Gast,Geschäftsführer von foodwatch,keine Partei,1,Kultur
anne-will_294-g7-gipfel-im-schloss-teuer-exklusiv-ueberfluessig-721834,2015-06-03,Anne Will,Katrin Göring-Eckardt,Katrin Göring-Eckardt,Gast,"Bündnis 90/​Die Grünen, Fraktionsvorsitzende im Bundestag",Grüne,1,Politik
anne-will_294-g7-gipfel-im-schloss-teuer-exklusiv-ueberfluessig-721834,2015-06-03,Anne Will,Oskar Lafontaine,Oskar Lafontaine,Gast,"Die Linke, Fraktionsvorsitzender im saarländischen Landtag",Linke,1,Politik
anne-will_294-g7-gipfel-im-schloss-teuer-exklusiv-ueberfluessig-721834,2015-06-03,Anne Will,Dr. Edmund Stoiber,Edmund Stoiber,Gast,"CSU, ehemaliger bayerischer Ministerpräsident",CSU,1,Politik
anne-will_294-g7-gipfel-im-schloss-teuer-exklusiv-ueberfluessig-721834,2015-06-03,Anne Will,Klaus von Dohnanyi,Klaus von Dohnanyi,Gast,"SPD, ehemaliger Erster Bürgermeister Hamburgs",SPD,1,Politik
anne-will_295-streitfall-homo-ehe-bekommen-wir-bald-irische-verhaeltnisse-725918,2015-06-10,Anne Will,Yasmin Fahimi,Yasmin Fahimi,Gast,"SPD, Generalsekretärin",keine Partei,2,Interessenvertretung
anne-will_295-streitfall-homo-ehe-bekommen-wir-bald-irische-verhaeltnisse-725918,2015-06-10,Anne Will,Frauke Petry,Frauke Petry,Gast,"AfD, Mitglied im Bundesvorstand",AfD,1,Politik
anne-will_295-streitfall-homo-ehe-bekommen-wir-bald-irische-verhaeltnisse-725918,2015-06-10,Anne Will,Thomas Goppel,Thomas Goppel,Gast,"CSU, Bayerischer Staatsminister a.D.",CSU,1,Politik
anne-will_296-finale-in-bruessel-letzter-akt-im-griechischen-drama-730046,2015-06-24,Anne Will,Prof. Dr. Gesine Schwan,Gesine Schwan,Gast,"SPD, Politologin",SPD,2,Politik
anne-will_296-finale-in-bruessel-letzter-akt-im-griechischen-drama-730046,2015-06-24,Anne Will,Giorgos Chondros,Giorgos Chondros,Gast,Parteivorstand von Syriza,keine Partei,1,Interessenvertretung
anne-will_296-finale-in-bruessel-letzter-akt-im-griechischen-drama-730046,2015-06-24,Anne Will,Hans-Werner Sinn,Hans-Werner Sinn,Gast,Präsident des ifo Instituts,keine Partei,1,Wissenschaft
anne-will_296-finale-in-bruessel-letzter-akt-im-griechischen-drama-730046,2015-06-24,Anne Will,Norbert Röttgen,Norbert Röttgen,Gast,"CDU, Vorsitzender des Auswärtigen Ausschusses des Deutschen Bundestags",CDU,1,Politik
anne-will_296-finale-in-bruessel-letzter-akt-im-griechischen-drama-730046,2015-06-24,Anne Will,Rolf-Dieter Krause,Rolf-Dieter Krause,Gast,"Leiter des ARD-Studio Brüssel, live zugeschaltet",keine Partei,1,Medien
anne-will_297-tsipras-laesst-das-volk-abstimmen-provokation-oder-chance-fuer-europa-731167,2015-07-01,Anne Will,Sahra Wagenknecht,Sahra Wagenknecht,Gast,"Die Linke, Erste stellvertretende Fraktionsvorsitzende",Linke,1,Politik
anne-will_297-tsipras-laesst-das-volk-abstimmen-provokation-oder-chance-fuer-europa-731167,2015-07-01,Anne Will,Volker Kauder,Volker Kauder,Gast,"CDU, Vorsitzender der CDU/​CSU-Bundestagsfraktion",CDU,1,Politik
anne-will_297-tsipras-laesst-das-volk-abstimmen-provokation-oder-chance-fuer-europa-731167,2015-07-01,Anne Will,Pierre Gramegna,Pierre Gramegna,Gast,Finanzminister von Luxemburg,keine Partei,1,Politik
anne-will_297-tsipras-laesst-das-volk-abstimmen-provokation-oder-chance-fuer-europa-731167,2015-07-01,Anne Will,Giorgos Chondros,Giorgos Chondros,Gast,Parteivorstand von Syriza,keine Partei,1,Interessenvertretung
anne-will_298-nach-der-kampfansage-aus-athen-ist-merkels-europa-noch-zu-retten-734231,2015-07-08,Anne Will,Gregor Peter Schmitz,Gregor Peter Schmitz,Gast,Leiter des Hauptstadtbüros der „Wirtschaftswoche“,keine Partei,1,Medien
anne-will_298-nach-der-kampfansage-aus-athen-ist-merkels-europa-noch-zu-retten-734231,2015-07-08,Anne Will,Prof. Dr. Gesine Schwan,Gesine Schwan,Gast,"Politologin, SPD",SPD,2,Politik
anne-will_298-nach-der-kampfansage-aus-athen-ist-merkels-europa-noch-zu-retten-734231,2015-07-08,Anne Will,Elmar Brok,Elmar Brok,Gast,"Vorsitzender des Ausschusses für Auswärtige Angelegenheiten des Europäischen Parlaments, CDU",CDU,1,Politik
anne-will_298-nach-der-kampfansage-aus-athen-ist-merkels-europa-noch-zu-retten-734231,2015-07-08,Anne Will,Richard Sulík,Richard Sulík,Gast,slowakischer Europa-Abgeordneter,keine Partei,1,Politik
anne-will_299-solidaritaet-nur-nach-deutschen-regeln-ist-die-grosse-idee-europa-gescheitert-736470,2015-07-15,Anne Will,Rainer Hank,Rainer Hank,Gast,Ressortleiter Wirtschaft bei der „Frankfurter Allgemeinen Sonntagszeitung“,keine Partei,1,Medien
anne-will_299-solidaritaet-nur-nach-deutschen-regeln-ist-die-grosse-idee-europa-gescheitert-736470,2015-07-15,Anne Will,Sonja Puntscher Riekmann,Sonja Puntscher Riekmann,Gast,Politikwissenschaftlerin,keine Partei,1,Wissenschaft
anne-will_299-solidaritaet-nur-nach-deutschen-regeln-ist-die-grosse-idee-europa-gescheitert-736470,2015-07-15,Anne Will,Daniel Cohn-Bendit,Daniel Cohn-Bendit,Gast,"B’90/​Die Grünen, war lange Jahre Mitglied im Europaparlament",Grüne,2,Politik
anne-will_299-solidaritaet-nur-nach-deutschen-regeln-ist-die-grosse-idee-europa-gescheitert-736470,2015-07-15,Anne Will,Jens Spahn,Jens Spahn,Gast,CDU/​Parlamentarischer Staatssekretär im Bundesfinanzministerium,CDU,1,Politik
anne-will_300-merkel-und-das-fluechtlingsmaedchen-ist-deutschland-zu-unbarmherzig-738140,2015-07-22,Anne Will,Armin Laschet,Armin Laschet,Gast,"CDU, stellvertretender Parteivorsitzender",CDU,1,Politik
anne-will_300-merkel-und-das-fluechtlingsmaedchen-ist-deutschland-zu-unbarmherzig-738140,2015-07-22,Anne Will,Elias Bierdel,Elias Bierdel,Gast,Vorstandsmitglied der Hilfsorganisation „borderline-europe“,keine Partei,2,Interessenvertretung
anne-will_300-merkel-und-das-fluechtlingsmaedchen-ist-deutschland-zu-unbarmherzig-738140,2015-07-22,Anne Will,Thomas Kreuzer,Thomas Kreuzer,Gast,"CSU, Fraktionsvorsitzender im Bayerischen Landtag",CSU,1,Politik
anne-will_300-merkel-und-das-fluechtlingsmaedchen-ist-deutschland-zu-unbarmherzig-738140,2015-07-22,Anne Will,Katrin Göring-Eckardt,Katrin Göring-Eckardt,Gast,"Bündnis 90/​Die Grünen, Fraktionsvorsitzende im Bundestag",Grüne,1,Politik
anne-will_301-zeltstaedte-stimmungsmache-brandanschlaege-sieht-so-deutsche-willkommenskultur-aus-739328,2015-07-29,Anne Will,Ralf Jäger,Ralf Jäger,Gast,"SPD, Innenminister in Nordrhein-Westfalen",SPD,1,Politik
anne-will_301-zeltstaedte-stimmungsmache-brandanschlaege-sieht-so-deutsche-willkommenskultur-aus-739328,2015-07-29,Anne Will,Monika Hohlmeier,Monika Hohlmeier,Gast,"CSU, Mitglied des Europäischen Parlaments",CSU,1,Politik
anne-will_301-zeltstaedte-stimmungsmache-brandanschlaege-sieht-so-deutsche-willkommenskultur-aus-739328,2015-07-29,Anne Will,Bodo Ramelow,Bodo Ramelow,Gast,"Die Linke, Thüringens Ministerpräsident",Linke,1,Politik
anne-will_302-solidaritaet-fehlanzeige-scheitert-europa-an-der-fluechtlingsfrage-761325,2015-09-16,Anne Will,Jean Asselborn,Jean Asselborn,Gast,Außenminister von Luxemburg,keine Partei,1,Politik
anne-will_302-solidaritaet-fehlanzeige-scheitert-europa-an-der-fluechtlingsfrage-761325,2015-09-16,Anne Will,Thomas de Maizière,Thomas de Maizière,Gast,"CDU, Bundesinnenminister",CDU,1,Politik
anne-will_302-solidaritaet-fehlanzeige-scheitert-europa-an-der-fluechtlingsfrage-761325,2015-09-16,Anne Will,Katrin Göring-Eckardt,Katrin Göring-Eckardt,Gast,"Bündnis 90/​Die Grünen, Fraktionsvorsitzende im Bundestag",Grüne,1,Politik
anne-will_302-solidaritaet-fehlanzeige-scheitert-europa-an-der-fluechtlingsfrage-761325,2015-09-16,Anne Will,Heribert Prantl,Heribert Prantl,Gast,Ressortleiter Innenpolitik der Süddeutschen Zeitung,keine Partei,1,Medien
anne-will_302-solidaritaet-fehlanzeige-scheitert-europa-an-der-fluechtlingsfrage-761325,2015-09-16,Anne Will,Zoltán Balog,Zoltán Balog,Gast,ungarischer Minister für Gesellschaftliche Ressourcen,keine Partei,1,Politik
anne-will_303-kunden-betrogen-image-ruiniert-ist-vw-noch-zu-retten-765378,2015-09-23,Anne Will,Ulf Poschardt,Ulf Poschardt,Gast,stellvertretender Chefredakteur der Welt-Gruppe,keine Partei,1,Medien
anne-will_303-kunden-betrogen-image-ruiniert-ist-vw-noch-zu-retten-765378,2015-09-23,Anne Will,Heinz-Josef Bontrup,Heinz-Josef Bontrup,Gast,Wirtschaftswissenschaftler,keine Partei,1,Wissenschaft
anne-will_303-kunden-betrogen-image-ruiniert-ist-vw-noch-zu-retten-765378,2015-09-23,Anne Will,Michael Fuchs,Michael Fuchs,Gast,"CDU, stv. Unions-Fraktionsvorsitzender, zuständig für Wirtschaft,Energie",CDU,1,Politik
anne-will_303-kunden-betrogen-image-ruiniert-ist-vw-noch-zu-retten-765378,2015-09-23,Anne Will,Renate Künast,Renate Künast,Gast,"B’90/​Die Grünen, Vorsitzende des Ausschusses für Recht,Verbraucherschutz",Grüne,1,Politik
anne-will_304-merkels-fluechtlingspolitik-grosse-geste-kleiner-plan-770417,2015-09-30,Anne Will,Thomas Kreuzer,Thomas Kreuzer,Gast,"CSU, Fraktionsvorsitzender im Bayerischen Landtag",CSU,1,Politik
anne-will_304-merkels-fluechtlingspolitik-grosse-geste-kleiner-plan-770417,2015-09-30,Anne Will,Heinrich August Winkler,Heinrich August Winkler,Gast,Historiker,keine Partei,2,Wissenschaft
anne-will_304-merkels-fluechtlingspolitik-grosse-geste-kleiner-plan-770417,2015-09-30,Anne Will,Marion von Haaren,Marion von Haaren,Gast,Korrespondentin im ARD-Hauptstadtstudio,keine Partei,1,Medien
anne-will_304-merkels-fluechtlingspolitik-grosse-geste-kleiner-plan-770417,2015-09-30,Anne Will,Christoph Schwennicke,Christoph Schwennicke,Gast,Chefredakteur des „Cicero“,keine Partei,1,Medien
anne-will_304-merkels-fluechtlingspolitik-grosse-geste-kleiner-plan-770417,2015-09-30,Anne Will,Armin Laschet,Armin Laschet,Gast,"CDU, stellvertretender Parteivorsitzender",CDU,1,Politik
anne-will_305-die-kanzlerin-in-der-fluechtlingskrise-koennen-wir-es-wirklich-schaffen-frau-merkel-774775,2015-10-07,Anne Will,Angela Merkel,Angela Merkel,Gast,Bundeskanzlerin,keine Partei,1,Politik
anne-will_306-kampf-dem-islamistischen-terror-wie-weit-darf-der-staat-gehen-778793,2015-10-14,Anne Will,Juli Zeh,Juli Zeh,Gast,Autorin,keine Partei,2,Kultur
anne-will_306-kampf-dem-islamistischen-terror-wie-weit-darf-der-staat-gehen-778793,2015-10-14,Anne Will,Sabine Leutheusser-Schnarrenberger,Sabine Leutheusser-Schnarrenberger,Gast,"ehemalige Bundesjustizministerin, FDP",FDP,1,Politik
anne-will_306-kampf-dem-islamistischen-terror-wie-weit-darf-der-staat-gehen-778793,2015-10-14,Anne Will,Wolfgang Bosbach,Wolfgang Bosbach,Gast,"Mitglied im Innenausschuss, CDU",CDU,1,Politik
anne-will_306-kampf-dem-islamistischen-terror-wie-weit-darf-der-staat-gehen-778793,2015-10-14,Anne Will,Prof. Peter R. Neumann,Peter R Neumann,Gast,Terrorismus-Experte,keine Partei,2,Wissenschaft
anne-will_307-zaeune-transitzonen-abschiebungen-ist-das-die-richtige-fluechtlingspolitik-781674,2015-11-04,Anne Will,Hans-Peter Friedrich,Hans-Peter Friedrich,Gast,Stellvertretender Vorsitzender der CDU/​CSU-Bundestagsfraktion,CSU,1,Politik
anne-will_307-zaeune-transitzonen-abschiebungen-ist-das-die-richtige-fluechtlingspolitik-781674,2015-11-04,Anne Will,Thomas Oppermann,Thomas Oppermann,Gast,SPD-Fraktionsvorsitzender im Bundestag,SPD,1,Politik
anne-will_307-zaeune-transitzonen-abschiebungen-ist-das-die-richtige-fluechtlingspolitik-781674,2015-11-04,Anne Will,Johanna Mikl-Leitner,Johanna Mikl-Leitner,Gast,Österreichische Bundesministerin für Inneres,keine Partei,1,Politik
anne-will_308-familiennachzug-begrenzen-unchristlich-aber-unvermeidlich-784003,2015-11-11,Anne Will,Heinz Buschkowsky,Heinz Buschkowsky,Gast,Ehemaliger Bezirksbürgermeister von Berlin-Neukölln,SPD,1,Politik
anne-will_308-familiennachzug-begrenzen-unchristlich-aber-unvermeidlich-784003,2015-11-11,Anne Will,Constantin Schreiber,Constantin Schreiber,Gast,Moderator der ersten arabischen Sendung für Flüchtlinge,keine Partei,1,Medien
anne-will_308-familiennachzug-begrenzen-unchristlich-aber-unvermeidlich-784003,2015-11-11,Anne Will,Simone Peter,Simone Peter,Gast,Bundesvorsitzende von Bündnis 90/​Die Grünen,Grüne,1,Politik
